pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
23.570833,low,653,476.5320213,5.8375,23.0625,44.666668,147,16.520834,01/09/2024
29.133333,low,737.7083,476.5320213,5.258333,19.008333,56.541668,582,20.387499,02/09/2024
29.4625,low,686.7917,476.5320213,5.5291667,20.058332,61.5,480,20.583334,03/09/2024
22.658333,low,732.2083,476.5320213,5.879167,21.029167,57.333332,475,15.825,04/09/2024
16.745832,very low,550.2083,476.5320213,3.9166667,16.875,37.625,413,11.724999,05/09/2024
18.033333,very low,581.75,476.5320213,4.733333,15.412499,38.833332,375,12.691667,06/09/2024
11.787499,very low,421.79166,476.5320213,3.6958332,13.587501,41.833332,168,8.220834,07/09/2024
11.291667,very low,479.79166,476.5320213,4.045833,14.9375,34.833332,124,7.9083333,08/09/2024
12.070832,very low,468.25,476.5320213,3.9375,15.179166,29.25,592,8.462501,09/09/2024
7.625,very low,388.625,476.5320213,3.0833333,13.079166,21.958334,529,5.3375,10/09/2024
10.212501,very low,403.91666,476.5320213,3.5541668,14.070834,25.208334,398,7.1625,11/09/2024
14.970833,very low,527.8333,476.5320213,4.554167,18.550001,32.125,557,10.416667,12/09/2024
19.029167,very low,713.4583,476.5320213,5.9625,19.504168,33.791668,433,13.0625,13/09/2024
24.620834,low,714.5417,476.5320213,4.9874997,21.995834,35.125,165,17.15,14/09/2024
24.975,low,749.5833,476.5320213,5.5875,19.387499,37.833332,130,17.429167,15/09/2024
26.762499,low,760.125,476.5320213,4.5333333,20.070833,42.458332,649,18.408333,16/09/2024
27.195833,low,786.6667,476.5320213,5.8416667,22.991667,53,598,19.025,17/09/2024
32.0125,low,891.625,476.5320213,6.9249997,26.099998,65.708336,429,22.316666,18/09/2024
29.954168,low,861.2917,476.5320213,6.808333,26.495834,59.25,333,20.783333,19/09/2024
38.854168,moderate,974.375,476.5320213,8.3,28.570833,69.083336,466,27.016668,20/09/2024
24.512499,low,540.625,476.5320213,4.3708334,13.645833,60.5,225,17.0375,21/09/2024
22.237501,low,575.7083,476.5320213,5.2791667,15.129167,65.75,170,15.554166,22/09/2024
18.820833,very low,648.8333,476.5320213,6.0208335,21.466667,35.958332,530,13.175,23/09/2024
16.425001,very low,470.58334,476.5320213,4.2625003,14.287499,40.041668,506,11.491666,24/09/2024
16.429167,very low,511.54166,476.5320213,4.7458334,16.604166,22.875,509,11.495833,25/09/2024
16.716665,very low,455.04166,476.5320213,4.7374997,16.566668,41.041668,469,11.745833,26/09/2024
34.508335,low,1030.3334,476.5320213,7.866667,33.3125,43.916668,501,24.141668,27/09/2024
36.379166,moderate,951.75,476.5320213,7.0375,30.925001,47.25,202,25.491667,28/09/2024
31.908333,low,800.5833,476.5320213,5.4708333,22.375,42.541668,131,22.4,29/09/2024
24.716667,low,700.25,476.5320213,5.75,21.5375,27.916666,583,17.395834,30/09/2024
17.754168,very low,491.625,476.5320213,5.7958336,14.570834,46.291668,502,12.5,01/10/2024
17.108334,very low,502.25,476.5320213,8.904166,15.241666,56.125,499,12,02/10/2024
11.783333,very low,440.16666,476.5320213,7.9375,12.754167,53.083332,370,8.254167,03/10/2024
19.745832,very low,767.6667,476.5320213,8.4375,23.425001,45.416668,495,13.816667,04/10/2024
26.591667,low,788.8333,476.5320213,8.520833,26.475,59.208332,170,18.566668,05/10/2024
39.079166,moderate,764.5,476.5320213,11.75,21.966667,89.416664,202,27.233332,06/10/2024
45.158337,moderate,763.875,476.5320213,8.966666,17.4375,82.708336,688,31.416666,07/10/2024
38.520832,moderate,1044.2084,476.5320213,11.8875,30.695833,65.458336,567,26.908333,08/10/2024
