tempF,humidity,pm10,pm2_5_categories,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,date,pm2_5
68.94,69,17.991667,very low,300.875,476.5320213,2.7250001,8.270833,48.875,13,08/07/2023,12.858334
66.83,76,18.733334,very low,335.25,476.5320213,4.5666666,9.133333,54.666668,15,09/07/2023,13.345833
67.3,76,16.125,very low,411.75,476.5320213,3.7083333,13.383334,42.458332,17,10/07/2023,11.325
66.42,75,12.254167,very low,329.16666,476.5320213,2.3958333,9.433333,28.666666,12,11/07/2023,8.775001
65.68,76,13.295834,very low,658.1667,476.5320213,6.120833,14.258334,27.625,22,12/07/2023,9.337501
65.95,75,11.337501,very low,557.2083,476.5320213,4.7833333,11.229167,31.791666,13,13/07/2023,7.9249997
66.6,70,12.4375,very low,507.79166,476.5320213,3.9375,10.741666,34.416668,7,14/07/2023,8.8875
65.75,75,10.375,very low,422.375,476.5320213,3,9.104167,32.708332,10,15/07/2023,7.3583336
66.65,75,10.349999,very low,376.25,476.5320213,2.5208333,9.191667,28.958334,14,16/07/2023,7.3333335
67.12,74,17.8125,very low,370.70834,476.5320213,2.6333334,10.045834,47.75,17,17/07/2023,12.337501
66.45,76,14.908333,very low,368.41666,476.5320213,2.425,8.5625,46.625,15,18/07/2023,10.254167
68.11,74,17.729166,very low,361.75,476.5320213,2.7083333,10.05,44.958332,17,19/07/2023,12.345833
68.65,72,18.495832,very low,549,476.5320213,3.9833333,15.0125,38.083332,17,20/07/2023,12.95
66.67,75,17.358334,very low,367.08334,476.5320213,3.0375001,9.870833,52.875,19,21/07/2023,12.133334
65.97,79,16.800001,very low,371.66666,476.5320213,3.7749999,9.116667,65.916664,14,22/07/2023,11.770833
67.86,73,25,low,519.6667,476.5320213,5.6375003,14.849999,67.041664,15,23/07/2023,17.508333
69.71,69,22.741667,low,569.7917,476.5320213,4.35,13.729167,59.708332,18,24/07/2023,15.941667
67.91,72,21.375,low,571.5417,476.5320213,4.5875,18.4,41.625,22,25/07/2023,15.0125
67.42,73,10.4875,very low,381.5,476.5320213,3.4583333,9.575,33.5,14,26/07/2023,7.4708333
68.5,69,7.6583333,very low,264.91666,476.5320213,2.0833333,7.5291667,34.625,11,27/07/2023,5.4125
69.44,69,6.3125,very low,263.20834,476.5320213,2.0583334,7.245833,31.791666,4,28/07/2023,4.366667
